ownership,indownership,marriagestatus,indmarriagestatus,county,hhincome,agequant,agecat,famsize,sex,indsex,indpoverty,degree,inddegree
Own,1,Not married,0,Jefferson,55220,61,60-69,1,female,0,0,College Degree,1
Own,1,Not married,0,Boone,112200,18,18-29,4,female,0,0,No College Degree,0
Own,1,Married,1,Kenton,121200,66,60-69,2,male,1,0,No College Degree,0
Own,1,Married,1,Boone,46800,61,60-69,2,female,0,0,No College Degree,0
Own,1,Married,1,Jefferson,175000,34,30-39,2,male,1,0,College Degree,1
Own,1,Married,1,Boone,64100,57,50-59,3,male,1,0,College Degree,1
Rent,0,Not married,0,Jefferson,12400,25,18-29,1,male,1,1,No College Degree,0
Own,1,Married,1,Jefferson,107800,67,60-69,3,male,1,0,No College Degree,0
Own,1,Married,1,Kenton,47000,23,18-29,2,female,0,0,College Degree,1
Own,1,Married,1,Fayette,68000,61,60-69,2,female,0,0,College Degree,1
Own,1,Married,1,Jefferson,52000,50,50-59,2,male,1,0,No College Degree,0
Rent,0,Married,1,Fayette,36000,35,30-39,1,male,1,0,College Degree,1
Own,1,Married,1,Warren,120000,46,40-49,5,male,1,0,College Degree,1
Own,1,Not married,0,Fayette,383900,32,30-39,3,male,1,0,No College Degree,0
Rent,0,Not married,0,Fayette,2850,41,40-49,4,female,0,1,No College Degree,0
Own,1,Married,1,Warren,36200,30,30-39,5,female,0,0,No College Degree,0
Own,1,Married,1,Jefferson,60000,56,50-59,3,male,1,0,No College Degree,0
Own,1,Married,1,Fayette,508000,35,30-39,2,female,0,0,College Degree,1
Own,1,Married,1,Jefferson,4580,46,40-49,2,male,1,1,No College Degree,0
Rent,0,Not married,0,Jefferson,130000,26,18-29,1,male,1,0,College Degree,1
Own,1,Married,1,Jefferson,204000,32,30-39,2,male,1,0,No College Degree,0
Own,1,Married,1,Fayette,78300,71,70above,2,male,1,0,No College Degree,0
Rent,0,Not married,0,Kenton,58300,28,18-29,2,female,0,0,No College Degree,0
Own,1,Married,1,Warren,164000,53,50-59,3,female,0,0,College Degree,1
Rent,0,Not married,0,Jefferson,46000,28,18-29,2,female,0,0,No College Degree,0
Own,1,Married,1,Kenton,154000,35,30-39,4,female,0,0,College Degree,1
Own,1,Not married,0,Boone,194000,54,50-59,2,male,1,0,No College Degree,0
Own,1,Married,1,Jefferson,105700,68,60-69,2,female,0,0,College Degree,1
Own,1,Not married,0,Fayette,72000,76,70above,2,female,0,0,College Degree,1
Own,1,Married,1,Jefferson,100000,37,30-39,4,female,0,0,College Degree,1
Rent,0,Not married,0,Jefferson,43400,25,18-29,3,female,0,0,No College Degree,0
Own,1,Married,1,Jefferson,16400,81,70above,2,male,1,0,No College Degree,0
Own,1,Married,1,Kenton,75000,36,30-39,2,female,0,0,College Degree,1
Own,1,Not married,0,Jefferson,80400,92,70above,1,female,0,0,No College Degree,0
Rent,0,Not married,0,Kenton,10000,21,18-29,2,male,1,1,No College Degree,0
Own,1,Married,1,Fayette,27600,56,50-59,2,female,0,0,College Degree,1
Own,1,Married,1,Fayette,74400,83,70above,2,male,1,0,College Degree,1
Rent,0,Married,1,Jefferson,66000,32,30-39,2,male,1,0,College Degree,1
Own,1,Married,1,Jefferson,30240,78,70above,2,male,1,0,No College Degree,0
Own,1,Married,1,Kenton,71200,73,70above,2,female,0,0,No College Degree,0
Own,1,Not married,0,Kenton,133900,67,60-69,7,female,0,0,No College Degree,0
Rent,0,Not married,0,Fayette,94010,33,30-39,4,female,0,0,College Degree,1
Own,1,Married,1,Jefferson,110000,55,50-59,2,male,1,0,No College Degree,0
Own,1,Married,1,Fayette,59800,93,70above,2,male,1,0,No College Degree,0
Own,1,Not married,0,Fayette,37500,78,70above,3,female,0,0,No College Degree,0
Own,1,Not married,0,Kenton,39200,73,70above,2,male,1,0,No College Degree,0
Own,1,Married,1,Jefferson,200000,39,30-39,5,female,0,0,College Degree,1
Own,1,Married,1,Jefferson,38600,88,70above,2,female,0,0,No College Degree,0
Rent,0,Married,1,Jefferson,101600,50,50-59,3,female,0,0,College Degree,1
Own,1,Married,1,Jefferson,78000,60,60-69,2,female,0,0,No College Degree,0
Rent,0,Not married,0,Jefferson,68000,52,50-59,1,female,0,0,College Degree,1
Own,1,Married,1,Jefferson,105000,36,30-39,5,female,0,0,College Degree,1
Own,1,Not married,0,Boone,344000,24,18-29,10,female,0,0,College Degree,1
Own,1,Not married,0,Fayette,42000,50,50-59,2,female,0,0,College Degree,1
Own,1,Not married,0,Jefferson,40000,33,30-39,1,male,1,0,No College Degree,0
Own,1,Married,1,Boone,116670,83,70above,2,male,1,0,No College Degree,0
Own,1,Married,1,Fayette,40400,72,70above,1,male,1,0,College Degree,1
Rent,0,Not married,0,Fayette,53000,31,30-39,1,male,1,0,College Degree,1
Rent,0,Not married,0,Jefferson,77000,19,18-29,3,female,0,0,No College Degree,0
Own,1,Married,1,Jefferson,28200,60,60-69,3,male,1,0,No College Degree,0
Own,1,Not married,0,Jefferson,20200,90,70above,1,female,0,0,No College Degree,0
Own,1,Married,1,Jefferson,81000,29,18-29,2,female,0,0,College Degree,1
Own,1,Married,1,Jefferson,131900,58,50-59,5,male,1,0,No College Degree,0
Own,1,Not married,0,Kenton,58000,33,30-39,1,male,1,0,College Degree,1
Own,1,Married,1,Jefferson,200200,49,40-49,3,female,0,0,College Degree,1
Rent,0,Not married,0,Boone,36000,22,18-29,3,female,0,0,No College Degree,0
Own,1,Not married,0,Jefferson,37200,40,40-49,4,female,0,0,No College Degree,0
Own,1,Not married,0,Fayette,31800,49,40-49,2,female,0,0,No College Degree,0
Own,1,Married,1,Jefferson,45000,84,70above,2,female,0,0,No College Degree,0
Rent,0,Not married,0,Jefferson,11500,89,70above,1,female,0,0,No College Degree,0
Own,1,Married,1,Jefferson,100000,48,40-49,4,female,0,0,No College Degree,0
Own,1,Not married,0,Fayette,5900,64,60-69,1,male,1,1,No College Degree,0
Own,1,Married,1,Jefferson,91100,68,60-69,5,male,1,0,College Degree,1
Rent,0,Not married,0,Jefferson,65000,50,50-59,2,female,0,0,No College Degree,0
Own,1,Married,1,Jefferson,122700,55,50-59,3,male,1,0,College Degree,1
Own,1,Married,1,Jefferson,173700,58,50-59,2,female,0,0,College Degree,1
Own,1,Not married,0,Kenton,56000,65,60-69,1,male,1,0,No College Degree,0
Own,1,Married,1,Jefferson,81580,71,70above,2,female,0,0,College Degree,1
Own,1,Not married,0,Fayette,20000,70,70above,1,male,1,0,College Degree,1
Rent,0,Not married,0,Jefferson,69000,28,18-29,4,male,1,0,No College Degree,0
Own,1,Not married,0,Kenton,50,60,60-69,1,female,0,1,College Degree,1
Own,1,Married,1,Jefferson,498000,43,40-49,4,male,1,0,College Degree,1
Rent,0,Not married,0,Jefferson,12000,57,50-59,1,female,0,1,No College Degree,0
Own,1,Married,1,Jefferson,305000,38,30-39,4,male,1,0,College Degree,1
Own,1,Not married,0,Jefferson,59000,31,30-39,4,female,0,0,No College Degree,0
Own,1,Not married,0,Jefferson,130800,33,30-39,4,male,1,0,No College Degree,0
Own,1,Married,1,Jefferson,94000,30,30-39,3,female,0,0,College Degree,1
Rent,0,Not married,0,Fayette,21500,36,30-39,1,male,1,0,No College Degree,0
Own,1,Married,1,Jefferson,159000,43,40-49,4,male,1,0,College Degree,1
